oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S92000003,5118223,4555104,489579,62128,11412
S00088956,217,193,18,6,0
S00088957,65,54,11,0,0
S00088958,87,82,5,0,0
S00088959,76,72,4,0,0
S00088960,66,64,2,0,0
S00088961,211,149,49,11,2
S00088962,84,80,4,0,0
S00088963,84,74,9,1,0
S00088964,83,78,5,0,0
S00088965,141,127,11,2,1
S00088966,114,105,8,1,0
S00088967,51,48,3,0,0
S00088968,55,42,10,3,0
S00088969,153,134,16,3,0
S00088970,102,97,3,2,0
S00088971,74,67,6,1,0
S00088972,123,110,11,2,0
S00088973,138,106,25,7,0
S00088974,119,94,24,1,0
S00088975,75,64,10,1,0
S00088976,69,68,1,0,0
S00088977,60,54,6,0,0
S00088978,60,56,3,1,0
S00088979,83,76,6,1,0
S00088980,65,57,8,0,0
S00088981,56,49,6,1,0
S00088982,66,55,9,2,0
S00088983,65,53,7,4,1
S00088984,55,50,5,0,0
S00088985,76,65,11,0,0
S00088986,131,120,10,0,1
S00088987,63,62,1,0,0
S00088988,64,57,7,0,0
S00088989,94,65,20,5,4
S00088990,104,87,13,3,1
S00088991,124,98,21,4,1
S00088992,541,476,59,4,2
S00088993,116,105,9,2,0
S00088994,55,50,3,1,1
S00088995,62,50,12,0,0
S00088996,101,85,9,7,0
S00088997,148,140,8,0,0
S00088998,116,101,13,1,1
S00088999,118,99,14,4,1
S00089000,120,110,8,2,0
S00089001,113,103,10,0,0
S00089002,129,119,6,3,1
S00089003,110,101,8,1,0
S00089004,93,87,6,0,0
S00089005,125,112,12,1,0
S00089006,100,90,6,4,0
S00089007,116,107,9,0,0
S00089008,73,68,5,0,0
S00089009,100,95,5,0,0
S00089010,124,113,10,1,0
S00089011,148,131,14,1,2
S00089012,113,101,8,1,3
S00089013,66,62,1,3,0
S00089014,113,105,7,1,0
S00089015,91,87,1,3,0
S00089016,89,78,7,3,1
S00089017,82,79,2,1,0
S00089018,144,132,9,3,0
S00089019,127,117,8,1,1
S00089020,78,69,5,4,0
S00089021,82,70,8,3,1
S00089022,94,89,5,0,0
S00089023,94,83,11,0,0
S00089024,65,59,4,2,0
S00089025,63,61,2,0,0
S00089026,66,61,5,0,0
S00089027,107,102,3,2,0
S00089028,78,70,8,0,0
S00089029,81,78,3,0,0
S00089030,65,59,5,1,0
S00089031,136,116,15,5,0
S00089032,80,75,4,1,0
S00089033,94,84,10,0,0
S00089034,57,45,12,0,0
S00089035,102,90,11,1,0
S00089036,65,57,7,1,0
S00089037,84,82,1,1,0
S00089038,56,40,12,4,0
S00089039,75,62,9,3,1
S00089040,87,51,27,6,3
S00089041,221,200,14,6,1
S00089042,64,32,21,9,2
S00089043,136,76,41,16,3
S00089044,69,56,7,6,0
S00089045,71,61,7,2,1
S00089046,244,203,31,6,4
S00089047,107,77,20,7,3
S00089048,88,72,12,4,0
S00089049,126,119,7,0,0
S00089050,101,85,11,2,3
S00089051,142,106,25,7,4
S00089052,142,125,13,3,1
S00089053,107,82,15,7,3
S00089054,73,53,13,6,1
S00089055,85,57,15,13,0
S00089056,71,54,13,2,2
S00089057,83,65,14,4,0
S00089058,96,63,20,11,2
S00089059,54,44,4,4,2
S00089060,55,35,14,5,1
S00089061,69,45,15,7,2
S00089062,50,41,8,0,1
S00089063,77,55,9,8,5
S00089064,83,64,12,6,1
S00089065,92,65,15,8,4
S00089066,62,47,13,2,0
S00089067,103,62,13,20,8
S00089068,71,49,9,9,4
S00089069,56,36,12,8,0
S00089070,122,90,24,7,1
S00089071,84,57,17,8,2
S00089072,111,57,34,18,2
S00089073,90,65,18,7,0
S00089074,141,92,33,13,3
S00089075,82,48,23,10,1
S00089076,111,88,17,6,0
S00089077,88,68,14,4,2
S00089078,49,39,9,1,0
S00089079,57,47,6,4,0
S00089080,94,65,19,10,0
S00089081,72,59,13,0,0
S00089082,79,66,8,5,0
S00089083,117,88,23,6,0
S00089084,97,87,10,0,0
S00089085,116,96,17,3,0
S00089086,97,83,8,3,3
S00089087,136,103,29,1,3
S00089088,89,63,21,3,2
S00089089,108,89,17,2,0
S00089090,122,108,8,4,2
S00089091,144,123,15,6,0
S00089092,162,130,28,3,1
S00089093,155,120,21,13,1
S00089094,87,70,10,7,0
S00089095,111,86,13,8,4
S00089096,90,77,11,2,0
S00089097,79,61,12,6,0
S00089098,74,50,12,10,2
S00089099,114,81,19,10,4
S00089100,97,73,19,5,0
S00089101,72,52,15,2,3
S00089102,81,57,14,8,2
S00089103,85,63,16,6,0
S00089104,67,57,7,3,0
S00089105,96,87,7,2,0
S00089106,89,79,7,2,1
S00089107,78,60,13,5,0
S00089108,87,75,11,1,0
S00089109,58,47,4,3,4
S00089110,107,80,21,5,1
S00089111,144,118,18,8,0
S00089112,143,88,29,20,6
S00089113,64,50,14,0,0
S00089114,110,95,13,1,1
S00089115,148,110,30,8,0
S00089116,195,144,40,8,3
S00089117,119,81,22,14,2
S00089118,142,127,15,0,0
S00089119,86,78,8,0,0
S00089120,77,67,8,2,0
S00089121,167,103,48,16,0
S00089122,60,51,8,1,0
S00089123,148,112,30,5,1
S00089124,103,93,9,1,0
S00089125,160,134,21,5,0
S00089126,108,90,13,4,1
S00089127,91,65,19,5,2
S00089128,95,91,4,0,0
S00089129,191,178,8,5,0
S00089130,91,77,12,1,1
S00089131,98,89,8,1,0
S00089132,86,83,3,0,0
S00089133,83,70,13,0,0
S00089134,129,105,24,0,0
S00089135,137,125,12,0,0
S00089136,109,104,5,0,0
S00089137,106,96,9,1,0
S00089138,55,50,5,0,0
S00089139,82,71,10,1,0
S00089140,94,80,14,0,0
S00089141,118,105,12,1,0
S00089142,135,120,12,3,0
S00089143,102,80,14,8,0
S00089144,90,75,14,0,1
S00089145,123,104,17,2,0
S00089146,110,95,12,3,0
S00089147,90,69,20,1,0
S00089148,119,107,11,1,0
S00089149,113,95,12,6,0
S00089150,144,112,27,5,0
S00089151,59,49,10,0,0
S00089152,54,40,14,0,0
S00089153,62,53,9,0,0
S00089154,68,53,11,3,1
S00089155,83,73,7,3,0
S00089156,124,91,25,8,0
S00089157,101,82,16,1,2
S00089158,131,113,17,1,0
S00089159,88,79,8,1,0
S00089160,111,96,12,2,1
S00089161,94,81,12,1,0
S00089162,74,67,7,0,0
S00089163,110,95,12,3,0
S00089164,78,69,6,3,0
S00089165,102,84,16,2,0
S00089166,143,126,17,0,0
S00089167,104,88,15,1,0
S00089168,64,55,9,0,0
S00089169,111,102,8,1,0
S00089170,83,62,16,5,0
S00089171,73,62,8,3,0
S00089172,60,51,9,0,0
S00089173,133,115,17,1,0
S00089174,150,134,16,0,0
S00089175,114,98,15,1,0
S00089176,99,88,9,2,0
S00089177,125,112,10,3,0
S00089178,142,122,19,1,0
S00089179,167,147,19,1,0
S00089180,134,118,15,1,0
S00089181,97,87,10,0,0
S00089182,113,99,11,3,0
S00089183,91,79,11,1,0
S00089184,135,127,8,0,0
