oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S92000003,3429061,653800,1072071,805846,897344
S00088956,142,66,39,30,7
S00088957,46,15,18,9,4
S00088958,54,35,17,2,0
S00088959,57,13,18,23,3
S00088960,50,26,20,4,0
S00088961,45,12,15,7,11
S00088962,50,31,11,6,2
S00088963,54,22,14,13,5
S00088964,67,31,25,6,5
S00088965,94,14,33,33,14
S00088966,82,24,27,16,15
S00088967,41,12,7,14,8
S00088968,37,6,15,11,5
S00088969,106,18,33,27,28
S00088970,83,37,35,7,4
S00088971,55,28,15,9,3
S00088972,117,32,55,22,8
S00088973,94,6,22,25,41
S00088974,92,9,17,16,50
S00088975,66,16,33,12,5
S00088976,60,19,24,9,8
S00088977,58,18,28,7,5
S00088978,52,14,25,9,4
S00088979,81,16,40,15,10
S00088980,60,15,24,11,10
S00088981,51,18,18,6,9
S00088982,58,22,14,13,9
S00088983,40,2,9,6,23
S00088984,36,6,11,6,13
S00088985,73,19,22,13,19
S00088986,129,17,73,20,19
S00088987,62,6,30,11,15
S00088988,60,2,19,18,21
S00088989,87,6,45,22,14
S00088990,102,15,43,21,23
S00088991,116,20,60,12,24
S00088992,38,1,12,3,22
S00088993,100,12,49,21,18
S00088994,52,12,28,3,9
S00088995,60,14,33,10,3
S00088996,74,9,41,5,19
S00088997,109,66,31,6,6
S00088998,97,56,19,14,8
S00088999,88,35,36,14,3
S00089000,112,39,50,9,14
S00089001,75,25,20,17,13
S00089002,91,34,30,21,6
S00089003,71,29,22,12,8
S00089004,74,31,20,18,5
S00089005,85,42,21,15,7
S00089006,76,44,15,10,7
S00089007,99,41,37,17,4
S00089008,72,23,30,17,2
S00089009,96,22,34,30,10
S00089010,101,47,28,20,6
S00089011,137,35,52,26,24
S00089012,95,33,45,14,3
S00089013,61,17,28,10,6
S00089014,110,39,43,13,15
S00089015,88,34,33,17,4
S00089016,83,16,28,21,18
S00089017,81,33,34,12,2
S00089018,93,41,24,15,13
S00089019,113,54,33,11,15
S00089020,71,30,27,10,4
S00089021,66,23,22,11,10
S00089022,67,22,28,12,5
S00089023,75,19,34,9,13
S00089024,59,18,24,14,3
S00089025,61,11,29,13,8
S00089026,62,16,29,13,4
S00089027,98,27,47,15,9
S00089028,77,29,30,4,14
S00089029,78,23,33,8,14
S00089030,62,20,30,10,2
S00089031,123,33,47,18,25
S00089032,48,19,14,8,7
S00089033,83,18,37,12,16
S00089034,47,16,19,6,6
S00089035,89,23,35,14,17
S00089036,58,16,25,8,9
S00089037,78,27,40,1,10
S00089038,56,10,22,10,14
S00089039,73,10,29,19,15
S00089040,68,6,4,18,40
S00089041,110,17,25,32,36
S00089042,48,0,9,15,24
S00089043,104,0,14,35,55
S00089044,56,7,11,20,18
S00089045,42,2,10,16,14
S00089046,64,2,22,30,10
S00089047,74,7,25,24,18
S00089048,59,7,15,28,9
S00089049,101,15,23,27,36
S00089050,59,5,15,23,16
S00089051,120,12,35,39,34
S00089052,116,13,32,34,37
S00089053,91,8,27,21,35
S00089054,66,8,13,15,30
S00089055,82,10,25,22,25
S00089056,67,21,13,23,10
S00089057,77,13,12,17,35
S00089058,87,3,33,17,34
S00089059,54,5,12,21,16
S00089060,51,5,10,22,14
S00089061,61,15,13,16,17
S00089062,43,5,14,8,16
S00089063,72,13,24,8,27
S00089064,75,1,24,17,33
S00089065,87,9,27,12,39
S00089066,57,5,13,20,19
S00089067,91,5,33,26,27
S00089068,62,10,16,22,14
S00089069,49,2,9,9,29
S00089070,112,18,33,36,25
S00089071,60,7,16,15,22
S00089072,97,13,31,22,31
S00089073,84,11,24,17,32
S00089074,113,10,37,32,34
S00089075,75,6,7,35,27
S00089076,81,4,13,30,34
S00089077,77,3,28,20,26
S00089078,25,2,7,6,10
S00089079,45,8,3,17,17
S00089080,65,3,15,21,26
S00089081,46,1,11,17,17
S00089082,45,4,12,9,20
S00089083,84,5,15,32,32
S00089084,55,9,14,14,18
S00089085,80,1,19,25,35
S00089086,72,6,15,30,21
S00089087,101,9,24,21,47
S00089088,61,2,17,22,20
S00089089,78,4,25,29,20
S00089090,85,3,8,26,48
S00089091,89,0,18,33,38
S00089092,100,9,16,32,43
S00089093,116,14,31,29,42
S00089094,58,5,8,16,29
S00089095,80,3,17,25,35
S00089096,67,2,15,17,33
S00089097,67,4,17,12,34
S00089098,59,3,9,25,22
S00089099,84,8,25,24,27
S00089100,49,9,12,12,16
S00089101,59,6,7,19,27
S00089102,57,6,17,10,24
S00089103,74,11,19,33,11
S00089104,62,15,17,13,17
S00089105,83,8,31,28,16
S00089106,75,12,15,26,22
S00089107,53,3,15,4,31
S00089108,66,2,13,21,30
S00089109,44,1,18,10,15
S00089110,81,2,16,27,36
S00089111,108,2,25,36,45
S00089112,107,2,15,40,50
S00089113,9,0,0,1,8
S00089114,68,2,12,18,36
S00089115,106,6,15,27,58
S00089116,129,4,30,32,63
S00089117,90,8,13,18,51
S00089118,94,13,40,39,2
S00089119,53,14,17,13,9
S00089120,51,10,16,24,1
S00089121,86,9,23,23,31
S00089122,42,5,6,10,21
S00089123,98,2,16,37,43
S00089124,65,3,7,24,31
S00089125,111,4,7,42,58
S00089126,72,2,23,15,32
S00089127,65,2,14,19,30
S00089128,71,3,12,30,26
S00089129,155,43,70,11,31
S00089130,60,7,17,15,21
S00089131,69,9,24,16,20
S00089132,69,13,32,16,8
